8800;289;233000;Airbus A330-200
8200;292;233000;Airbus A330-300
3500;142;65317;Boeing 737-700
4200;186;73700;Boeing 737-800
4300;188;76900;Boeing 737-900
11500;408;390100;Boeing 747-400
11800;320;297500;Boeing 777-200ER
12000;408;351543;Boeing 777-300ER
11500;294;252650;Boeing 787-9
3300;88;36500;Embraer 175
