ID	PA	frequency	voltage	xc	h2f_avg_L	series			
R00	1	0	0	NaN	NaN	1			
R01	1	0	0	NaN	NaN	2			
R02	1	100	4	NaN	NaN	2			
R03	1	100	6	NaN	NaN	1			
R04	1	100	9	NaN	NaN	1			
R05	1	100	10	NaN	NaN	1			
R06	1	100	11	NaN	NaN	1			
R07	1	100	12	NaN	NaN	1			
R08	1	100	13	NaN	NaN	1			
R09	1	200	4	NaN	NaN	2			
R10	1	200	6	NaN	NaN	1			
R11	1	200	8	NaN	NaN	1			
R12	1	200	9	NaN	NaN	1			
R13	1	200	10	NaN	NaN	1			
R14	1	200	11	NaN	NaN	1			
R15	1	200	12	NaN	NaN	1			
R16	1	300	4	NaN	NaN	2			
R17	1	300	6	NaN	NaN	2			
R18	1	300	8	NaN	NaN	1			
R19	1	300	9	NaN	NaN	1			
R20	1	300	10	NaN	NaN	3			
R21	1	300	11	NaN	NaN	1			
R22	1	500	6	NaN	NaN	2			
R23	1	500	8	NaN	NaN	3			
R24	1	500	9	NaN	NaN	1			
R25	1	500	10	NaN	NaN	1			
R26	1	500	12	NaN	NaN	1			
R27	1	800	6	NaN	NaN	2			
R28	1	800	8	NaN	NaN	1			
R29	1	800	10	NaN	NaN	1			
R30	1	1000	4	NaN	NaN	2			
R31	1	1000	6	NaN	NaN	1			
R32	1	1000	8	NaN	NaN	1			
R33	1	1000	10	NaN	NaN	1			
R34	1	2000	4	NaN	NaN	1			
R35	1	2000	5	NaN	NaN	1			
R36	1	2000	6	NaN	NaN	1			
R37	1	2000	7	NaN	NaN	1			
R38	1	2000	8	NaN	NaN	1			
R39	1	2000	10	NaN	NaN	1			
R40	1	3000	4	NaN	NaN	2			
R41	1	3000	6	NaN	NaN	1			
R42	1	3000	8	NaN	NaN	3			
R43	1	3000	10	NaN	NaN	1			
R44	1	4000	4	NaN	NaN	2			
R45	1	4000	6	NaN	NaN	1			
R46	1	4000	8	NaN	NaN	3			
R47	1	4000	10	NaN	NaN	1			
R48	1	5000	2	NaN	NaN	1			
R49	1	5000	4	NaN	NaN	1			
R50	1	5000	6	NaN	NaN	1			
R51	1	5000	8	NaN	NaN	1			
R52	1	5000	10	NaN	NaN	1			
R53	1	0	0	NaN	NaN	3
