ID	PA	frequency	voltage	xc	h2f_avg_L	series			
R00	3	100	4	NaN	NaN	2			
R01	3	100	6	NaN	NaN	2			
R02	3	100	8	NaN	NaN	1			
R03	3	100	10	NaN	NaN	1			
R04	3	100	12	NaN	NaN	1			
R05	3	200	8	NaN	NaN	1			
R06	3	200	10	NaN	NaN	3			
R07	3	200	12	NaN	NaN	1			
R08	3	300	4	NaN	NaN	2			
R09	3	300	6	NaN	NaN	2			
R10	3	300	8	NaN	NaN	2			
R11	3	300	10	NaN	NaN	3			
R12	3	300	12	NaN	NaN	1			
R13	3	500	6	NaN	NaN	2			
R14	3	500	8	NaN	NaN	1			
R15	3	500	10	NaN	NaN	1			
R16	3	500	12	NaN	NaN	1			
R17	3	800	6	NaN	NaN	2			
R18	3	800	8	NaN	NaN	2			
R19	3	800	10	NaN	NaN	1			
R20	3	800	12	NaN	NaN	1			
R21	3	1000	4	NaN	NaN	2			
R22	3	1000	6	NaN	NaN	1			
R23	3	1000	8	NaN	NaN	1			
R24	3	1000	10	NaN	NaN	1			
R25	3	2000	2	NaN	NaN	1			
R26	3	2000	6	NaN	NaN	2			
R27	3	2000	8	NaN	NaN	1			
R28	3	2000	10	NaN	NaN	1			
R29	3	3000	4	NaN	NaN	2			
R30	3	3000	6	NaN	NaN	2			
R31	3	3000	8	NaN	NaN	1			
R32	3	4000	4	NaN	NaN	2			
R33	3	4000	6	NaN	NaN	1			
R34	3	4000	8	NaN	NaN	1			
R35	3	0	0	NaN	NaN	1			
R36	3	0	0	NaN	NaN	2			
R37	3	0	0	NaN	NaN	3			
